pcp	ETP	Q(m/day)
15.06	4.395693364	0.648614938
1.86	4.629414747	0.695315213
1.54	3.3693729	0.748501638
0.23	2.319582506	0.793904684
0	0.473085792	0.83541604
0	2.23372168	0.856171718
0	1.858691763	0.856171718
0	0.230367603	0.849685569
0	3.457287345	0.83541604
0	5.379474581	0.815957592
0	2.305598339	0.791310224
0	0.58261213	0.762771167
0	0	0.73034042
0	0	0.697909673
0	0.892512993	0.660290007
0	0	0.634345409
4.72	1.027758462	0.596725743
0	0	0.565592226
0	0	0.537053169
0	0.028135043	0.509811341
0	3.462274705	0.482569514
6.81	2.885892349	0.463111065
0.34	0	0.450138767
0	0	0.430680319
0	0	0.404735721
0	0	0.378791124
0	0.820734125	0.356738216
0	0	0.337279768
0	0.327181063	0.320415779
5.97	4.227003245	0.31133517
3.33	2.163605265	0.31652409
0.39	0.89673529	0.31392963
0	1.540903694	0.30874071
0	3.060243515	0.302254561
0.03	5.343684733	0.299660101
3.06	2.808214513	0.295768412
0	2.185732106	0.291876722
21.13	1.242956949	0.324307469
0.34	0.734090311	0.42159971
0	1.132641224	0.474786134
11.77	2.390240488	0.529269789
4.95	1.060228851	0.62656203
0	1.247765584	0.678451225
0	1.808112894	0.704395823
0	1.085969187	0.718665351
0.03	2.635009396	0.706990282
0.16	4.36470339	0.696612443
21.43	0.022318168	0.73163765
0.82	0	0.812065902
0	0.613308735	0.891196925
0	2.441815447	0.94438335
0	3.747123904	1.002758694
0.47	4.820297905	1.04427005
22.19	6.171429818	1.088375866
0.11	2.179414881	1.124698302
0	3.367807527	1.167506888
0	3.337352844	1.196045945
9.14	1.4209707	1.215504394
6.75	0.990927947	1.24793514
0	1.714771958	1.294635416
8.92	2.692026337	1.349119071
0.57	2.570647608	1.401008266
0	2.12658254	1.413980565
1.35	2.606368038	1.413980565
0.62	3.965229783	1.401008266
15.3	3.002475777	1.413980565
9.6	0.130341002	1.504786656
0.11	2.350312678	1.634509644
0	3.485727219	1.712343436
0	2.912644201	1.751260332
0.11	3.112466408	1.751260332
0	3.529794205	1.725315735
2.64	4.13873912	1.699371137
3.97	1.879085936	1.738288033
18.98	2.975384837	1.855038722
0.11	4.476350234	1.971789411
5.32	4.472742824	2.036650905
0	3.886786304	2.049623204
0.16	3.875398207	2.205290789
80.16	4.889646219	3.23010239
0.68	4.331417241	4.215997096
0	4.370037746	4.981362722
0	3.847670665	5.150002608
0	3.467053568	5.007307318
0	4.087881715	4.78677824
0	4.539161604	4.553276864
0	3.745531455	4.306803187
4.53	4.80618066	3.995468017
1.6	5.065277561	3.658188249
6.63	1.686266348	3.320908482
0	1.387150381	3.009573311
0	4.26410174	2.71121044
0	5.909792239	2.438792166
0	6.039318332	2.179346191
0.08	6.363627254	1.997734008
0.03	6.339122318	1.842066423
4.04	5.032910463	1.77720493
33.82	3.636218842	1.88098332
35.4	2.449659296	2.19231849
36.32	2.369861169	3.281991586
17.82	2.533855745	4.540304565
3.19	2.483230162	5.34458709
0	4.937852852	5.578088463
0	5.515648736	5.591060764
