Date	observed	5%	95%	BMA	SWAT	HECHMS	hymod	Modified SCS-CN
1/1/2003	14.16	4.90	29.11	12.10	30.38	11.93	2.29	0.00
1/2/2003	15.18	3.85	30.16	13.16	29.62	13.93	2.33	0.00
1/3/2003	16.34	2.60	31.42	14.41	29.46	15.94	2.40	0.00
1/4/2003	17.33	2.61	31.40	14.39	29.27	16.01	2.46	0.00
1/5/2003	18.24	2.54	31.47	14.46	29.35	16.08	2.51	0.00
1/6/2003	18.69	3.18	30.83	13.82	29.30	15.11	2.55	0.00
1/7/2003	18.69	3.55	30.45	13.45	28.89	14.15	2.58	2.08
1/8/2003	18.55	4.36	29.63	12.63	28.05	13.30	2.60	2.08
1/9/2003	18.24	5.28	28.71	11.71	26.84	12.46	2.61	2.08
1/10/2003	17.81	6.23	27.76	10.76	25.36	11.72	2.61	2.07
1/11/2003	17.27	7.22	26.76	9.76	23.74	10.97	2.60	2.05
1/12/2003	16.65	8.17	25.81	8.82	22.06	10.32	2.58	2.05
1/13/2003	15.94	9.11	24.86	7.87	20.40	9.67	2.57	2.05
1/14/2003	15.23	9.98	23.99	7.00	18.83	9.09	2.55	2.04
1/15/2003	14.41	10.81	23.16	6.17	17.35	8.52	2.52	2.04
1/16/2003	13.85	11.57	22.40	5.41	16.00	8.01	2.50	2.04
1/17/2003	13.03	12.20	21.77	4.78	14.77	7.50	2.50	2.50
1/18/2003	12.35	12.76	21.20	4.22	13.63	7.06	2.52	2.93
1/19/2003	11.72	10.20	20.67	3.68	12.90	6.61	2.53	2.87
1/20/2003	11.13	10.24	20.25	3.26	12.38	6.22	2.54	2.82
1/21/2003	10.53	9.98	19.87	2.88	12.04	5.82	2.55	2.76
1/22/2003	10.11	9.96	19.71	2.72	11.78	5.47	2.60	3.58
1/23/2003	9.83	2.99	19.49	2.50	11.34	5.12	2.66	4.37
1/24/2003	9.40	2.96	19.42	2.44	11.83	4.82	2.72	4.22
1/25/2003	8.83	2.12	19.38	2.39	12.38	4.52	2.77	4.08
1/26/2003	8.27	2.31	19.34	2.36	12.89	4.26	2.81	3.94
1/27/2003	7.79	2.23	19.25	2.26	13.21	3.99	2.83	3.81
1/28/2003	7.36	2.22	19.08	2.10	13.26	3.75	2.84	3.69
1/29/2003	6.99	2.01	18.85	1.86	13.06	3.51	2.83	3.58
1/30/2003	6.80	1.56	18.71	1.72	12.65	3.34	2.86	4.16
1/31/2003	6.91	1.23	18.57	1.58	12.08	3.17	2.94	4.96
2/1/2003	6.85	1.24	18.36	1.37	11.62	3.05	3.02	5.01
2/2/2003	6.74	1.11	18.13	1.15	11.29	2.92	3.10	4.82
2/3/2003	6.60	0.88	17.94	0.95	11.13	2.75	3.16	4.63
2/4/2003	6.54	0.84	17.80	0.81	11.11	2.59	3.20	4.45
2/5/2003	6.46	0.56	17.66	0.67	11.08	2.39	3.25	4.45
2/6/2003	6.37	0.53	17.51	0.52	10.99	2.20	3.29	4.47
2/7/2003	7.08	2.95	20.35	3.36	10.83	5.16	3.57	9.82
2/8/2003	9.20	5.64	22.99	6.00	10.22	8.12	3.94	14.86
2/9/2003	10.36	7.59	26.37	9.38	11.76	12.84	4.31	14.02
2/10/2003	11.55	3.54	30.43	13.44	13.89	17.57	4.81	15.82
2/11/2003	13.68	0.74	31.00	16.24	16.38	20.01	5.39	18.23
2/12/2003	14.81	1.86	28.82	18.83	19.84	22.44	5.93	17.87
2/13/2003	15.38	2.56	28.52	19.53	22.88	22.34	6.37	16.82
2/14/2003	15.69	3.14	23.10	20.11	25.50	22.24	6.68	15.84
2/15/2003	15.43	2.74	21.70	19.71	27.47	20.92	6.86	14.93
2/16/2003	15.21	2.07	23.03	19.04	28.55	19.60	6.92	14.07
2/17/2003	15.97	4.39	20.34	21.37	28.76	21.39	7.29	20.11
2/18/2003	17.73	6.31	21.27	23.29	27.89	23.18	7.75	25.82
2/19/2003	19.45	8.33	28.29	25.31	28.58	26.40	8.18	24.28
2/20/2003	20.61	10.43	34.39	27.41	29.50	29.61	8.51	22.81
2/21/2003	21.89	9.69	33.65	26.67	30.87	28.19	8.69	21.44
2/22/2003	22.80	8.91	32.87	25.89	32.06	26.77	8.76	20.16
2/23/2003	23.76	10.75	34.71	27.73	32.62	27.53	9.18	26.59
2/24/2003	24.55	12.27	36.23	29.24	32.37	28.30	9.71	32.62
2/25/2003	25.49	13.03	36.98	30.00	31.92	30.26	10.18	30.60
2/26/2003	26.11	13.87	37.84	30.85	31.68	32.22	10.52	28.71
2/27/2003	26.53	13.11	37.07	30.09	32.24	30.76	10.90	28.76
2/28/2003	27.24	12.66	36.61	29.63	32.99	29.30	11.37	30.13
3/1/2003	28.26	11.87	35.83	28.85	33.29	28.10	11.78	29.58
3/2/2003	29.45	11.32	35.27	28.29	33.73	26.91	12.26	30.00
3/3/2003	30.58	10.69	34.64	27.66	33.98	25.69	12.67	30.44
3/4/2003	30.87	9.96	32.92	26.94	35.24	24.48	12.92	28.58
3/5/2003	30.87	9.13	31.09	26.11	36.38	23.12	13.03	26.90
3/6/2003	30.58	8.20	32.17	25.18	37.13	21.76	12.98	25.34
3/7/2003	30.87	8.91	32.88	25.90	37.31	21.86	13.17	28.60
3/8/2003	32.85	9.83	33.82	26.82	36.63	21.96	13.65	34.52
3/9/2003	35.68	10.49	36.48	27.48	36.25	22.96	14.15	35.25
3/10/2003	37.38	10.94	39.92	27.93	36.88	23.96	14.52	33.06
3/11/2003	38.23	10.06	41.04	27.05	37.72	22.77	14.69	31.01
3/12/2003	38.23	9.17	43.15	26.15	38.43	21.58	14.65	29.09
3/13/2003	37.66	8.05	42.03	25.03	38.54	20.30	14.41	27.30
3/14/2003	37.10	6.74	40.72	23.73	37.88	19.01	14.08	25.84
3/15/2003	37.94	5.57	39.55	22.55	36.51	18.12	13.74	24.92
3/16/2003	40.49	5.39	41.39	22.39	34.60	17.22	13.88	30.51
3/17/2003	43.04	6.00	44.02	23.01	32.05	18.07	14.16	35.30
3/18/2003	44.46	5.97	46.96	22.96	30.86	18.93	14.54	34.06
3/19/2003	44.74	5.23	46.22	22.22	30.04	18.51	14.86	32.91
3/20/2003	48.14	4.56	49.54	21.55	29.95	18.08	15.01	30.87
3/21/2003	70.51	22.65	68.93	49.79	30.10	33.89	22.76	74.69
3/22/2003	92.03	38.77	93.71	79.23	26.21	49.69	33.56	115.70
3/23/2003	108.74	57.70	110.24	81.97	42.48	72.86	44.62	108.24
3/24/2003	112.42	77.18	111.64	94.41	60.72	96.04	54.40	101.22
3/25/2003	109.30	79.63	113.89	96.76	79.88	92.22	62.14	94.67
3/26/2003	104.49	81.11	115.33	98.21	95.94	88.40	67.60	88.55
3/27/2003	99.39	79.95	114.20	97.07	106.50	83.12	70.84	82.84
3/28/2003	94.01	76.96	111.24	94.09	111.00	77.83	72.08	77.50
3/29/2003	87.22	73.00	107.29	90.14	110.60	73.20	71.75	72.95
3/30/2003	79.85	67.95	102.21	85.07	106.40	68.57	70.17	68.79
3/31/2003	72.49	62.57	96.79	79.68	99.58	64.52	67.77	65.30
4/1/2003	65.70	56.66	90.81	73.73	90.89	60.48	64.68	62.00
4/2/2003	59.18	50.75	84.84	67.79	81.57	56.93	61.08	58.04
4/3/2003	53.24	44.90	78.94	61.92	72.32	53.38	57.13	54.34
4/4/2003	47.57	39.51	73.52	56.52	63.65	50.21	52.98	50.87
4/5/2003	43.61	34.42	68.41	51.41	55.80	47.04	48.77	47.64
4/6/2003	40.21	29.88	63.86	46.87	48.84	44.24	44.59	44.61
4/7/2003	38.79	25.70	59.67	42.68	42.77	41.44	40.65	42.02
4/8/2003	41.06	26.88	60.88	43.88	37.53	43.61	37.86	49.90
4/9/2003	47.86	30.58	64.74	47.66	32.85	45.78	38.29	71.04
4/10/2003	71.64	48.20	82.72	65.46	29.27	67.19	43.27	98.96
4/11/2003	99.11	66.27	101.19	83.73	30.92	88.60	50.33	120.45
4/12/2003	116.67	79.17	117.05	96.61	45.27	100.81	57.48	123.07
4/13/2003	121.76	90.89	125.67	108.28	61.32	113.02	63.56	116.11
4/14/2003	122.05	91.21	125.71	108.46	77.05	107.78	68.00	108.57
4/15/2003	121.76	90.80	125.14	107.97	90.34	102.55	70.67	101.54
